Executing fixed runner now.
Test being executed: RegressionTest0.test222
Test being executed: RegressionTest0.test223
Test being executed: RegressionTest0.test224
Test being executed: RegressionTest0.test225
Test being executed: RegressionTest0.test226
Test being executed: RegressionTest0.test227
Test being executed: RegressionTest0.test228
Test being executed: RegressionTest0.test229
Test being executed: RegressionTest0.test230
Test being executed: RegressionTest0.test231
Test being executed: RegressionTest0.test232
Test being executed: RegressionTest0.test233
Test being executed: RegressionTest0.test234
Test being executed: RegressionTest0.test235
Test being executed: RegressionTest0.test236
Test being executed: RegressionTest0.test237
Test being executed: RegressionTest0.test238
Test being executed: RegressionTest0.test239
Test being executed: RegressionTest0.test240
Test being executed: RegressionTest0.test241
Test being executed: RegressionTest0.test242
Test being executed: RegressionTest0.test243
Test being executed: RegressionTest0.test244
Test being executed: RegressionTest0.test245
Test being executed: RegressionTest0.test246
Test being executed: RegressionTest0.test247
Test being executed: RegressionTest0.test248
Test being executed: RegressionTest0.test249
Test being executed: RegressionTest0.test250
Test being executed: RegressionTest0.test251
Test being executed: RegressionTest0.test252
Test being executed: RegressionTest0.test253
Test being executed: RegressionTest0.test254
Test being executed: RegressionTest0.test255
Test being executed: RegressionTest0.test256
Test being executed: RegressionTest0.test257
Test being executed: RegressionTest0.test258
Test being executed: RegressionTest0.test259
Test being executed: RegressionTest0.test260
Test being executed: RegressionTest0.test261
Test being executed: RegressionTest0.test262
Test being executed: RegressionTest0.test263
Test being executed: RegressionTest0.test264
Test being executed: RegressionTest0.test265
Test being executed: RegressionTest0.test266
Test being executed: RegressionTest0.test267
Test being executed: RegressionTest0.test268
Test being executed: RegressionTest0.test269
Test being executed: RegressionTest0.test270
Test being executed: RegressionTest0.test271
Test being executed: RegressionTest0.test272
Test being executed: RegressionTest0.test273
Test being executed: RegressionTest0.test274
Test being executed: RegressionTest0.test275
Test being executed: RegressionTest0.test276
Test being executed: RegressionTest0.test277
Test being executed: RegressionTest0.test278
Test being executed: RegressionTest0.test279
Test being executed: RegressionTest0.test280
Test being executed: RegressionTest0.test281
Test being executed: RegressionTest0.test282
Test being executed: RegressionTest0.test283
Test being executed: RegressionTest0.test284
Test being executed: RegressionTest0.test285
Test being executed: RegressionTest0.test286
Test being executed: RegressionTest0.test287
Test being executed: RegressionTest0.test288
Test being executed: RegressionTest0.test289
Test being executed: RegressionTest0.test290
Test being executed: RegressionTest0.test291
Test being executed: RegressionTest0.test292
Test being executed: RegressionTest0.test293
Test being executed: RegressionTest0.test294
Test being executed: RegressionTest0.test295
Test being executed: RegressionTest0.test296
Test being executed: RegressionTest0.test297
Test being executed: RegressionTest0.test298
Test being executed: RegressionTest0.test299
Test being executed: RegressionTest0.test300
Test being executed: RegressionTest0.test301
Test being executed: RegressionTest0.test302
Test being executed: RegressionTest0.test303
Test being executed: RegressionTest0.test304
Test being executed: RegressionTest0.test305
Test being executed: RegressionTest0.test306
Test being executed: RegressionTest0.test307
Test being executed: RegressionTest0.test308
Test being executed: RegressionTest0.test309
Test being executed: RegressionTest0.test310
Test being executed: RegressionTest0.test311
Test being executed: RegressionTest0.test312
Test being executed: RegressionTest0.test313
Test being executed: RegressionTest0.test314
Test being executed: RegressionTest0.test315
Test being executed: RegressionTest0.test316
Test being executed: RegressionTest0.test317
Test being executed: RegressionTest0.test318
Test being executed: RegressionTest0.test319
Test being executed: RegressionTest0.test320
Test being executed: RegressionTest0.test321
Test being executed: RegressionTest0.test322
Test being executed: RegressionTest0.test323
Test being executed: RegressionTest0.test324
Test being executed: RegressionTest0.test325
Test being executed: RegressionTest0.test326
Test being executed: RegressionTest0.test327
Test being executed: RegressionTest0.test328
Test being executed: RegressionTest0.test329
Test being executed: RegressionTest0.test330
Test being executed: RegressionTest0.test331
Test being executed: RegressionTest0.test332
Test being executed: RegressionTest0.test333
Test being executed: RegressionTest0.test334
Test being executed: RegressionTest0.test335
Test being executed: RegressionTest0.test336
Test being executed: RegressionTest0.test337
Test being executed: RegressionTest0.test338
Test being executed: RegressionTest0.test339
Test being executed: RegressionTest0.test340
Test being executed: RegressionTest0.test341
Test being executed: RegressionTest0.test342
Test being executed: RegressionTest0.test343
Test being executed: RegressionTest0.test344
Test being executed: RegressionTest0.test345
Test being executed: RegressionTest0.test346
Test being executed: RegressionTest0.test347
Test being executed: RegressionTest0.test348
Test being executed: RegressionTest0.test349
Test being executed: RegressionTest0.test350
Test being executed: RegressionTest0.test351
Test being executed: RegressionTest0.test352
Test being executed: RegressionTest0.test353
Test being executed: RegressionTest0.test354
Test being executed: RegressionTest0.test355
Test being executed: RegressionTest0.test356
Test being executed: RegressionTest0.test357
Test being executed: RegressionTest0.test358
Test being executed: RegressionTest0.test359
Test being executed: RegressionTest0.test360
Test being executed: RegressionTest0.test361
Test being executed: RegressionTest0.test362
Test being executed: RegressionTest0.test363
Test being executed: RegressionTest0.test364
Test being executed: RegressionTest0.test365
Test being executed: RegressionTest0.test366
Test being executed: RegressionTest0.test367
Test being executed: RegressionTest0.test368
Test being executed: RegressionTest0.test369
Test being executed: RegressionTest0.test370
Test being executed: RegressionTest0.test371
Test being executed: RegressionTest0.test372
Test being executed: RegressionTest0.test373
Test being executed: RegressionTest0.test374
Test being executed: RegressionTest0.test375
Test being executed: RegressionTest0.test376
Test being executed: RegressionTest0.test377
Test being executed: RegressionTest0.test378
Test being executed: RegressionTest0.test379
Test being executed: RegressionTest0.test380
Test being executed: RegressionTest0.test381
Test being executed: RegressionTest0.test382
Test being executed: RegressionTest0.test383
Test being executed: RegressionTest0.test384
3568 [main] INFO org.apache.activemq.camel.camelplugin.CamelRoutesBrokerPlugin - Installing CamelRoutesBroker
Test being executed: RegressionTest0.test385
Test being executed: RegressionTest0.test386
Test being executed: RegressionTest0.test387
Test being executed: RegressionTest0.test388
Test being executed: RegressionTest0.test389
Test being executed: RegressionTest0.test390
Test being executed: RegressionTest0.test391
Test being executed: RegressionTest0.test392
Test being executed: RegressionTest0.test393
Test being executed: RegressionTest0.test394
Test being executed: RegressionTest0.test395
Test being executed: RegressionTest0.test396
Test being executed: RegressionTest0.test397
Test being executed: RegressionTest0.test398
Test being executed: RegressionTest0.test399
Test being executed: RegressionTest0.test400
Test being executed: RegressionTest0.test401
Test being executed: RegressionTest0.test402
Test being executed: RegressionTest0.test403
Test being executed: RegressionTest0.test404
Test being executed: RegressionTest0.test405
Test being executed: RegressionTest0.test406
Test being executed: RegressionTest0.test407
Test being executed: RegressionTest0.test408
Test being executed: RegressionTest0.test409
Test being executed: RegressionTest0.test410
Test being executed: RegressionTest0.test411
Test being executed: RegressionTest0.test412
Test being executed: RegressionTest0.test413
Test being executed: RegressionTest0.test414
Test being executed: RegressionTest0.test415
Test being executed: RegressionTest0.test416
Test being executed: RegressionTest0.test417
Test being executed: RegressionTest0.test418
Test being executed: RegressionTest0.test419
Test being executed: RegressionTest0.test420
Test being executed: RegressionTest0.test421
Test being executed: RegressionTest0.test422
Test being executed: RegressionTest0.test423
Test being executed: RegressionTest0.test424
Test being executed: RegressionTest0.test425
Test being executed: RegressionTest0.test426
Test being executed: RegressionTest0.test427
Test being executed: RegressionTest0.test428
Test being executed: RegressionTest0.test429
3824 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x3e42c964]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test429(RegressionTest0.java:8130)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at edu.washington.cs.dt.util.JUnitTestExecutor.executeWithJUnit4Runner(JUnitTestExecutor.java:64)
	at edu.washington.cs.dt.util.TestRunnerWrapperFileInputs.main(TestRunnerWrapperFileInputs.java:55)
3828 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x5740aa8a]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test429(RegressionTest0.java:8133)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at edu.washington.cs.dt.util.JUnitTestExecutor.executeWithJUnit4Runner(JUnitTestExecutor.java:64)
	at edu.washington.cs.dt.util.TestRunnerWrapperFileInputs.main(TestRunnerWrapperFileInputs.java:55)
Test being executed: RegressionTest0.test430
Test being executed: RegressionTest0.test431
Test being executed: RegressionTest0.test432
Test being executed: RegressionTest0.test433
Test being executed: RegressionTest0.test434
Test being executed: RegressionTest0.test435
Test being executed: RegressionTest0.test436
Test being executed: RegressionTest0.test437
Test being executed: RegressionTest0.test438
Test being executed: RegressionTest0.test439
Test being executed: RegressionTest0.test440
Test being executed: RegressionTest0.test441
Test being executed: RegressionTest0.test442
Test being executed: RegressionTest0.test443
Test being executed: RegressionTest0.test444
Test being executed: RegressionTest0.test445
Test being executed: RegressionTest0.test446
Test being executed: RegressionTest0.test447
Test being executed: RegressionTest0.test448
Test being executed: RegressionTest0.test449
Test being executed: RegressionTest0.test450
Test being executed: RegressionTest0.test451
Test being executed: RegressionTest0.test452
Test being executed: RegressionTest0.test453
Test being executed: RegressionTest0.test454
Test being executed: RegressionTest0.test455
Test being executed: RegressionTest0.test456
Test being executed: RegressionTest0.test457
Test being executed: RegressionTest0.test458
Test being executed: RegressionTest0.test459
3994 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x2f478e10]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test459(RegressionTest0.java:8807)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at edu.washington.cs.dt.util.JUnitTestExecutor.executeWithJUnit4Runner(JUnitTestExecutor.java:64)
	at edu.washington.cs.dt.util.TestRunnerWrapperFileInputs.main(TestRunnerWrapperFileInputs.java:55)
3997 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x7d9acbbd]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test459(RegressionTest0.java:8810)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at edu.washington.cs.dt.util.JUnitTestExecutor.executeWithJUnit4Runner(JUnitTestExecutor.java:64)
	at edu.washington.cs.dt.util.TestRunnerWrapperFileInputs.main(TestRunnerWrapperFileInputs.java:55)
4003 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x6657968b]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test459(RegressionTest0.java:8813)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at edu.washington.cs.dt.util.JUnitTestExecutor.executeWithJUnit4Runner(JUnitTestExecutor.java:64)
	at edu.washington.cs.dt.util.TestRunnerWrapperFileInputs.main(TestRunnerWrapperFileInputs.java:55)
Test being executed: RegressionTest0.test460
Test being executed: RegressionTest0.test461
Test being executed: RegressionTest0.test462
Test being executed: RegressionTest0.test463
Test being executed: RegressionTest0.test464
Test being executed: RegressionTest0.test465
Test being executed: RegressionTest0.test466
Test being executed: RegressionTest0.test467
Test being executed: RegressionTest0.test468
Test being executed: RegressionTest0.test469
Test being executed: RegressionTest0.test470
Test being executed: RegressionTest0.test471
Test being executed: RegressionTest0.test472
Test being executed: RegressionTest0.test473
Test being executed: RegressionTest0.test474
Test being executed: RegressionTest0.test475
Test being executed: RegressionTest0.test476
Test being executed: RegressionTest0.test477
Test being executed: RegressionTest0.test478
4104 [main] WARN org.apache.activemq.camel.component.broker.BrokerConsumer - Error processing intercepted message: null. Exchange[][BrokerJmsMessage@0x19b4ac28]. Caused by: [java.lang.NullPointerException - null]
java.lang.NullPointerException
	at org.apache.activemq.camel.component.broker.BrokerConsumer.intercept(BrokerConsumer.java:56)
	at RegressionTest0.test478(RegressionTest0.java:9273)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
